Region,City,Total Users,Percentage
California,Los Angeles,"285,559",-21.70%
California,Ontario,"69,087",168.80%
New York,New York,"61,623",266.00%
(not set),(not set),"51,288",-51.20%
California,Riverside,"48,815",-7.90%
California,San Diego,"45,458",-32.50%
Virginia,Ashburn,"32,662",69.20%
California,(not set),"28,720",6.10%
Illinois,Chicago,"28,616",136.30%
California,Anaheim,"21,438",60.50%
California,Rancho Cucamonga,"18,954",5.70%
California,Fontana,"18,474",13.00%
California,San Bernardino,"16,720",7.70%
California,San Jose,"15,973",-53.20%
Nevada,Las Vegas,"13,835",10.10%
California,Moreno Valley,"13,013",8.90%
California,Corona,"11,279",-7.00%
Texas,(not set),"10,969",23.20%
Colorado,(not set),"10,752",122.70%
California,Murrieta,"9,577",17.20%
California,Victorville,"9,427",9.70%
California,Chino,"9,336",0.50%
Washington,Seattle,"8,826",-28.70%
California,Redlands,"8,597",9.60%
California,Irvine,"8,395",33.70%
California,Pomona,"8,320",4.40%
Arizona,Phoenix,"8,262",13.60%
California,East Los Angeles,"8,198",-46.10%
California,San Francisco,"7,760",-8.20%
California,Escondido,"7,664",6.40%
California,Menifee,"7,472",-0.10%
California,Barstow,"7,388",83.00%
California,Sacramento,"7,388",10.80%
Texas,Dallas,"7,332",-37.30%
Colorado,Denver,"7,122",48.70%
California,Upland,"7,122",3.60%
California,Oceanside,"6,813",36.50%
California,Chino Hills,"6,802",3.10%
California,Hesperia,"6,637",10.00%
California,Temecula,"6,622",2.00%
Washington,(not set),"6,219",41.50%
California,Turlock,"5,676",84.20%
California,Long Beach,"5,603",26.50%
California,Tehachapi,"5,590",77.50%
California,San Luis Obispo,"5,510",71.60%
California,Visalia,"5,506",78.70%
California,Arcata,"5,366",77.80%
California,Santa Ana,"5,337",0.80%
California,Hemet,"5,280",16.30%
Texas,Houston,"5,271",-47.40%
California,Rialto,"5,203",4.50%
California,Palmdale,"5,147",42.80%
California,Santa Rosa,"5,140",79.80%
California,Claremont,"5,066",-1.40%
California,Jurupa Valley,"4,988",127.70%
Oregon,Portland,"4,743",30.10%
Colorado,Aspen,"4,721",689.50%
California,Quincy,"4,701",57.80%
Changhua County,Dacun Township,"4,680",467900.00%
California,Atwater,"4,580",51.60%
California,Portola,"4,563",46.30%
California,Yucaipa,"4,523",14.00%
California,Gustine,"4,495",41.80%
California,Ridgecrest,"4,484",61.10%
California,Lake Elsinore,"4,454",-12.20%
California,Apple Valley,"4,371",1.40%
California,Clearlake,"4,339",62.90%
California,Eastvale,"4,333",4.00%
California,Anza,"4,203",380.30%
California,West Covina,"4,173",3.90%
California,Fairfield,"4,143",86.60%
California,Covina,"4,128",1.30%
California,Glendora,"4,098",-3.10%
California,Delano,"4,046",82.20%
California,Diamond Bar,"4,023",7.50%
Nevada,Sparks,"3,983",29.70%
California,Beaumont,"3,946",1.30%
California,Gilroy,"3,919",86.00%
Kansas,(not set),"3,895",1215.90%
California,Copperopolis,"3,876",54.90%
California,Yuba City,"3,847",81.50%
California,Perris,"3,804",-10.20%
California,Mission Viejo,"3,775",38.70%
Oregon,Medford,"3,748",34.40%
California,Lakeport,"3,697",87.70%
California,Ceres,"3,659",89.20%
California,Woodlake,"3,634",78.90%
Kansas,Coffeyville,"3,632",-86.20%
California,Fresno,"3,602",69.50%
California,Frazier Park,"3,570",83.90%
California,Willows,"3,525",85.50%
California,Sonora,"3,515",83.90%
California,Cazadero,"3,500",79.70%
California,Newman,"3,452",77.00%
California,Colusa,"3,440",73.20%
California,South Lake Tahoe,"3,437",76.30%
California,San Dimas,"3,422",3.30%
Ohio,Columbus,"3,407",101.40%
Nevada,Gerlach,"3,391",28.90%
California,Oakhurst,"3,377",51.20%